SS,Mã hàng,MSKH,Đối tượng gửi dữ liệu,Nguồn dữ liệu,Yêu cầu đặc biệt khi gửi dữ liệu,Part Number,Gui_DL,Nơi nhận dữ liệu,DUNG LƯỢNG 1 LẦN GỬI,Status
RS435PV46681A,46681A,961194H,MONTH,MAP,Nhập form (QMF-004),-,DD (QMF-004),MCH-D,,
RS435PW46765A,46765A,962307H,MONTH,MAP,,-,DD,HKM,8.0,Đã xác nhận
RS435PW46765A,46765A,961194H,MONTH,MAP,Nhập form (QMF-004),-,DD (QMF-004),MCH-D,,
RS445PA41100C,41100C,957555S,MONTH,MAP,,-,DD,SPO,8.0,Không có dữ liệu
RS445PA46357A,46357A,957555S,MONTH,MAP,,-,DD,SPO,8.0,Không có dữ liệu
RS445PD44146B,44146B,957217S,MONTH,MAP,,QK1-7296,TB,CANON THAI,3.5,
RS445PD44294C,44294C,934067H,MONTH,MAP,Nhập form (QMF-004),-,DD (QMF-004),MCH-D,,
RS446VA74240A,74240A,885665C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS446VA74240B,74240B,885665C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS446VA74793B,74793B,887323C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75042B,75042B,885848C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75042C,75042C,892240C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS446VA75043A,75043A,888123C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS446VA75043A,75043A,885665C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS446VA75043C,75043C,885665C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS446VA75043D,75043D,885665C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS446VA75404A,75404A,880948C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75595A,75595A,887323C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75503A,75503A,882035K,MONTH,MAP,,-,DD, KRO,8.0,Không có dữ liệu
RS446VA75503B,75503B,882035K,MONTH,MAP,,-,DD, KRO,8.0,Không có dữ liệu
RS446VA75605A,75605A,887323C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75618B,75618B,895441C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75618C,75618C,896506C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Đã xác nhận
RS446VA75723B,75723B,889345W,MONTH,MAP,,-,DD,MCH-Z (SZO),8.0,Không có dữ liệu
RS446VA75733A,75733A,888123C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS446VA75733A,75733A,885665C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS446VA75746A,75746A,882084K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RS446VA75746A,75746A,883686K,MONTH,MAP,,-,TB,KRO,8.0,
RS446VA75746A,75746A,886432C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75746B,75746B,886432C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75754A,75754A,880948C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75754C,75754C,880948C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75763A,75763A,880948C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75763B,75763B,880948C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75764A,75764A,880948C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA75909B,75909B,889196W,MONTH,MAP,,-,DD,MCH-Z (SZO),8.0,Không có dữ liệu
RS446VA76101B,76101B,888628C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS446VA76220A,76220A,888370W,MONTH,MAP,,-,DD,MCH-Z (SZO),8.0,Không có dữ liệu
RS446VA76242A,76242A,882035K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RS455PA42670F,42670F,957217S,MONTH,MAP,,QK1-2143,TB,CANON THAI,3.5,
RS455PA42670F,42670F,951103E,MONTH,MAP,,QK1-2143,TB,CANON THAI,3.5,
RS455PA42670G,42670G,951103E,MONTH,MAP,,QK1-2143,TB,CANON THAI,3.5,
RS455PA44595D,44595D,957217S,MONTH,MAP,,QK1-8460,TB,CANON THAI,3.5,
RS455PA44595D,44595D,957258S,MONTH,MAP,,QK1-8460,TB,SPO & CANON THAI,,
RS455PA44595D,44595D,951087E,MONTH,MAP,,QK1-8460,TB,CANON THAI,3.5,
RS455PA46224A,46224A,860080S,MONTH,MAP,,QK2-1893,TB,SPO & CANON VN,,
RS455PA46224A,46224A,957258S,MONTH,MAP,,QK2-1893,TB,SPO & CANON THAI,,
RS455PA46224A,46224A,951087E,MONTH,MAP,,QK2-1893,TB,CANON THAI,3.5,
RS455PA46224D,46224D,951087E,MONTH,MAP,,QK2-1893,TB, CANON THAI,3.5,
RS455PA46932B,46932B,957217S,MONTH,MAP,,QK2-3359,TB,CANON THAI,3.5,
RS4B5PA43529A,43529A,920371H,MONTH,MAP,,-,DD,EPSON,,Không có dữ liệu
RS4B5PA43529A,43529A,961127H,MONTH,MAP,,-,DD,EPSON,,Không có dữ liệu
RS4B5PA45620A,45620A,962308H,MONTH,MAP,Nhập form (QMF-004),-,DD (QMF-004),MCH-D,,
RS4F5WA74676C,74676C,508119U,MONTH,MAP,,-,DD,UPO,,Không có dữ liệu
RS4F5WA74676D,74676D,508119U,MONTH,MAP,,-,DD,UPO,,Đã xác nhận
RS4F5WA74716D,74716D,884601K,MONTH,MAP,,-,TB,KRO,8.0,
RS4F5WA74792F,74792F,890608C,MONTH,MAP,,-,DD,HELLA,8.0,Không có dữ liệu
RS4F5WA74792J,74792J,890608C,MONTH,MAP,,-,DD,HELLA,8.0,Không có dữ liệu
RS4F5WA74792M,74792M,890608C,MONTH,MAP,,-,DD,HELLA,8.0,Không có dữ liệu
RS4F5WA74792P,74792P,890608C,MONTH,MAP,,-,DD,HELLA,8.0,Đã xác nhận
RS4F5WA75548A,75548A,884056K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RS4F5WA75548B,75548B,884056K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RS4F5WA75142C,75142C,882100K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RS4F5WA75969A,75969A,941252,MONTH,MAP,,-,TB,SPO,8.0,
RS4F5WA75969A,75969A,884601K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
