SS,Mã hàng,MSKH,Đối tượng gửi dữ liệu,Nguồn dữ liệu,Yêu cầu đặc biệt khi gửi dữ liệu,Part Number,Gui_DL,Nơi nhận dữ liệu,DUNG LƯỢNG 1 LẦN GỬI,Status
RF370CB71006J,71006J,109116,MONTH,KJS,,-,TB,TGK,8.0,
RF370CB71008H,71008H,109116,MONTH,KJS,,-,TB,TGK,8.0,
RF370CB71008J,71008J,109116,MONTH,KJS,,-,TB,TGK,8.0,
RF370CB71010H,71010H,109116,MONTH,KJS,,-,TB,TGK,8.0,
RF370CB71010J,71010J,109116,MONTH,KJS,,-,TB,TGK,8.0,
RF370CB71011J,71011J,109116,MONTH,KJS,,-,TB,TGK,8.0,
RF370CB71014A,71014A,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB71016E,71016E,504894U,MONTH,KJS,List excel,-,TB,CEBI,8.0,
RF370CB71016F,71016F,504894U,MONTH,KJS,List excel,-,TB,CEBI,8.0,
RF370CB71122H,71122H,109116,MONTH,KJS,,-,TB,TGK,8.0,
RF370CB72247B,72247B,882027K,MONTH,MAP,,-,TB,KRO,8.0,
RF370CB72251E,72251E,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB72295B,72295B,882084K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RF370CB72877D,72877D,507160U,MONTH,KJS,List excel,-,TB,CEBI,8.0,
RF370CB73076D,73076D,507160U,MONTH,KJS,List excel,-,TB,CEBI,8.0,
RF370CB73076E,73076E,504894U,MONTH,KJS,List excel,-,TB,CEBI,8.0,
RF370CB73076E,73076E,507160U,MONTH,KJS,List excel,-,TB,CEBI,8.0,
RF370CB73276D,73276D,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB73276F,73276F,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB73276F,73276F,941013,MONTH,MAP,,-,DD,SPO,8.0,Không có dữ liệu
RF370CB73283D,73283D,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB73283E,73283E,882027K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RF370CB73980A,73980A,883900K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB73980B,73980B,882084K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB73980C,73980C,882084K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RF370CB74058A,74058A,883900K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB74058B,74058B,883900K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB74295A,74295A,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB74624A,74624A,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB74624B,74624B,882027K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RF370CB74624B,74624B,941013,MONTH,MAP,,-,DD,SPO,8.0,Không có dữ liệu
RF370CB74929A,74929A,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB74929B,74929B,882027K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RF370CB75699A,75699A,882084K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
RF370CB76360A,76360A,109116,MONTH,KJS,,-,TB,TGK,8.0,
RK370CA44926F,44926F,957258S,MONTH,MAP,,QK1-8962,TB,SPO & CANON THAI,,
RK370CA45322D,45322D,957217S,MONTH,MAP,,QK2-0264,TB,CANON THAI,3.5,
RK370CA45322D,45322D,951103E,MONTH,MAP,,QK2-0264,TB,CANON THAI,3.5,
RK370CA45322E,45322E,957217S,MONTH,MAP,,QK2-0264,TB,CANON THAI,3.5,
RK370CA45322E,45322E,951103E,MONTH,MAP,,QK2-0264,TB,CANON THAI,3.5,
RK370CA45839C,45839C,957217S,MONTH,MAP,,QK2-1328,TB,CANON THAI,3.5,
RK370CA45839C,45839C,951103E,MONTH,MAP,,QK2-1328,TB,CANON THAI,3.5,
RK370CA45839D,45839D,951103E,MONTH,MAP,,QK2-1328,TB,CANON THAI,3.5,
RK370CA45873C,45873C,957217S,MONTH,MAP,,QK2-1297,TB,CANON THAI,3.5,
RK370CA45873C,45873C,951103E,MONTH,MAP,,QK2-1297,TB,CANON THAI,3.5,
RK370CA45873D,45873D,957217S,MONTH,MAP,,QK2-1297,TB,CANON THAI,3.5,
RK370CA45873D,45873D,951103E,MONTH,MAP,,QK2-1297,TB,CANON THAI,3.5,
RK370CA46568A,46568A,958686S,MONTH,MAP,,-,DD,SPO,8.0,Không có dữ liệu
RK370CA46568A,46568A,951053E,MONTH,MAP,,-,TB,THO (KD),8.0,
RK370CA47013A,47013A,957217S,MONTH,MAP,,QK2-3358,TB,CANON THAI,3.5,
RK370CA47013A,47013A,951103E,MONTH,MAP,,QK2-3358,TB,CANON THAI,3.5,
RK370CA47142B,47142B,962392H,MONTH,MAP,,-,DD,MCH-Z (SZO),8.0,Đã xác nhận
RK370CA47143B,47143B,962392H,MONTH,MAP,,-,DD,MCH-Z (SZO),8.0,Không có dữ liệu
RK370CA47210B,47210B,954388Q,MONTH,MAP,,-,TB,THO (KD),8.0,
RK370CA47219B,47219B,954388Q,MONTH,MAP,,-,TB,THO (KD),8.0,
RS365PH38219F,38219F,954388Q,MONTH,MAP,,-,TB,THO (KD),8.0,
RS365PH45952A,45952A,954388Q,MONTH,MAP,,-,TB,THO (KD),8.0,
RS365PH45952F,45952F,954388Q,MONTH,MAP,,-,TB,THO (KD),8.0,
RS380PH71039H,71039H,101097,MONTH,KJS,"list excel
file data PDF 
(nhập SLSX vào file PDF)",-,TB,DENSO JAPAN,8.0,
RS380PH71039J,71039J,101097,MONTH,KJS,"list excel
file data PDF 
(nhập SLSX vào file PDF)",-,TB,DENSO JAPAN,8.0,
RS380PH73046J,73046J,941146,MONTH,MAP,,-,TB,SPO,8.0,
RS380PH73046J,73046J,884411C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS380PH73046L,73046L,884411C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS380PH73046K,73046K,884411C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS380PH73046R,73046R,884411C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS380PH73046S,73046S,941146,MONTH,MAP,,-,TB,SPO,8.0,
RS380PH74168E,74168E,192055,MONTH,KJS,Nhập form riêng,-,TB,ADVICS,,
RS380SH71035H,71035H,101097,MONTH,KJS,"list excel
file data PDF 
(nhập SLSX vào file PDF)",,TB,DENSO JAPAN,8.0,
RS380SH71035L,71035L,101097,MONTH,KJS,"list excel
file data PDF 
(nhập SLSX vào file PDF)",,TB,DENSO JAPAN,8.0,
RS385PH37025D,37025D,957217S,MONTH,MAP,,QK1-0550,TB,CANON THAI,3.5,
RS385PH37025D,37025D,951103E,MONTH,MAP,,QK1-0550,TB,CANON THAI,3.5,
RS385PH44327C,44327C,957258S,MONTH,MAP,,QK1-2144,TB,SPO & CANON THAI,,
RS385PH44327C,44327C,957217S,MONTH,MAP,,QK1-2144,TB,CANON THAI,3.5,
RS385PH44327C,44327C,951103E,MONTH,MAP,,QK1-2144,TB,CANON THAI,3.5,
RS385PH44329B,44329B,957258S,MONTH,MAP,,QK1-5909,TB,SPO & CANON THAI,,
RS385PH44329B,44329B,957217S,MONTH,MAP,,QK1-5909,TB,CANON THAI,3.5,
RS385PH44329B,44329B,951087E,MONTH,MAP,,QK1-5909,TB,CANON THAI,3.5,
RS385PH44329C,44329C,957258S,MONTH,MAP,,QK1-5909,TB,SPO & CANON THAI,,
RS385PH44485B,44485B,957217S,MONTH,MAP,,QK1-1269,TB,CANON THAI,3.5,
RS385PH44485B,44485B,957258S,MONTH,MAP,,QK1-1269,TB,SPO & CANON THAI,,
RS385PH44485B,44485B,951087E,MONTH,MAP,,QK1-1269,TB,CANON THAI,3.5,
RS385PH44486B,44486B,957217S,MONTH,MAP,,QK1-3849,TB,CANON THAI,3.5,
RS385PH44486B,44486B,951103E,MONTH,MAP,,QK1-3849,TB,CANON THAI,3.5,
RS385PH44486B,44486B,951087E,MONTH,MAP,,QK1-3849,TB,CANON THAI,3.5,
RS385PH44486D,44486D,951087E,MONTH,MAP,,QK1-3849,TB,CANON THAI,3.5,
RS385PH44486D,44486D,951103E,MONTH,MAP,,QK1-3849,TB,CANON THAI,3.5,
RS385PH44487B,44487B,957217S,MONTH,MAP,,QK1-3042,TB,CANON THAI,3.5,
RS385PH44487B,44487B,951103E,MONTH,MAP,,QK1-3042,TB,CANON THAI,3.5,
RS385PH44487B,44487B,951087E,MONTH,MAP,,QK1-3042,TB,CANON THAI,3.5,
RS385PH44487C,44487C,951103E,MONTH,MAP,,QK1-3042,TB,CANON THAI,3.5,
RS385PH44487C,44487C,951087E,MONTH,MAP,,QK1-3042,TB,CANON THAI,3.5,
RS385PH71456E,71456E,101097,MONTH,KJS,"list excel
file data PDF 
(nhập SLSX vào file PDF)",-,TB,DENSO JAPAN,8.0,
